                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.1069,                 1.0485,                 1.6725,                0.81606,                0.61849,                0.64093,                0.46266,                 1.0698,                 1.0319,                 1.6183,              0.0013897,              0.0013897,              0.0013897
                     45,                 1.0959,                 1.0797,                 1.6692,                0.87986,                0.61357,                0.65075,                0.47929,                 1.0284,                0.99698,                 1.5998,              0.0013831,              0.0013831,              0.0013831
                     46,                 1.0398,                0.97965,                 1.6155,                0.86507,                0.57545,                0.64591,                0.48292,                0.96916,                0.97038,                 1.5673,              0.0013765,              0.0013765,              0.0013765
                     47,                 1.0283,                 1.0197,                 1.6479,                0.84563,                0.60034,                0.64123,                 0.4664,                 1.0438,                 1.0272,                 1.6497,              0.0013699,              0.0013699,              0.0013699
                     48,                 1.0895,                 1.0208,                 1.6046,                0.82495,                0.61303,                0.63946,                0.47278,                 1.0599,                 1.0551,                 1.5987,              0.0013633,              0.0013633,              0.0013633
                     49,                  1.046,                0.98132,                  1.614,                0.86286,                0.61609,                0.64803,                0.47593,                 1.0464,                 1.0289,                 1.6185,              0.0013567,              0.0013567,              0.0013567
                     50,                 1.0006,                0.96343,                 1.6019,                0.84658,                0.61361,                0.64296,                0.48436,                0.98888,                 1.0392,                 1.5624,              0.0013501,              0.0013501,              0.0013501
                     51,                 1.0324,                0.97159,                 1.6106,                0.83327,                0.60555,                0.63811,                0.47092,                 1.0241,                  1.051,                 1.6173,              0.0013435,              0.0013435,              0.0013435
                     52,                 1.0494,                 0.9878,                 1.6358,                0.81189,                 0.6039,                 0.6311,                0.45945,                 1.0385,                  1.054,                 1.6176,              0.0013369,              0.0013369,              0.0013369
                     53,                 1.0862,                 1.0134,                 1.5905,                 0.8619,                0.59359,                0.63539,                0.45657,                 1.0607,                 1.0221,                  1.622,              0.0013303,              0.0013303,              0.0013303
                     54,                 1.1133,                  1.026,                  1.608,                0.87278,                0.57734,                0.63696,                0.45506,                  1.039,                0.97665,                 1.6268,              0.0013237,              0.0013237,              0.0013237
                     55,                 1.0278,                0.96014,                 1.5855,                0.89667,                0.59604,                0.64531,                0.47954,                0.99583,                0.91272,                 1.5781,              0.0013171,              0.0013171,              0.0013171
